IN	R	M	N	B
0	173	174	499653	0
1	174	173	499653	0
2	173	58	499769	0
3	174	173	499653	0
4	174	126	499700	0
5	173	48	499779	0
0	174	173	499653	0
1	173	155	499672	0
2	174	155	499671	0
3	174	133	499693	0
4	173	100	499727	0
5	175	47	499778	0
0	159	147	499694	0
1	159	118	499723	0
2	159	34	499807	0
3	159	117	499724	0
4	159	96	499745	0
5	147	136	499717	0
0	147	159	499694	0
2	159	146	499695	0
1	159	147	499694	0
3	147	19	499834	0
4	147	86	499767	0
0	143	162	499695	0
5	159	138	499703	0
1	162	30	499808	0
2	143	6	499851	0
3	162	114	499724	0
4	143	156	499701	0
5	162	30	499808	0
0	143	162	499695	0
1	162	30	499808	0
2	143	116	499741	0
3	162	122	499716	0
4	143	57	499800	0
5	149	113	499738	0
1	149	149	499702	0
0	143	162	499695	0
2	149	1	499850	0
3	149	31	499820	0
4	162	44	499794	0
5	162	26	499812	0
0	162	149	499689	0
1	149	149	499702	0
2	162	141	499697	0
3	162	59	499779	0
4	162	44	499794	0
5	158	124	499718	0
0	158	164	499678	0
2	158	4	499838	0
1	149	107	499744	0
3	158	95	499747	0
4	158	8	499834	0
5	158	58	499784	0
0	164	158	499678	0
1	164	35	499801	0
2	158	15	499827	0
3	158	42	499800	0
5	158	6	499836	0
4	158	8	499834	0
0	150	158	499692	0
1	158	88	499754	0
3	158	133	499709	0
2	164	118	499718	0
4	158	29	499813	0
5	158	110	499732	0
0	150	158	499692	0
1	150	113	499737	0
2	150	44	499806	0
3	158	106	499736	0
4	164	143	499693	0
0	164	146	499690	0
5	158	92	499750	0
1	146	39	499815	0
2	164	26	499810	0
3	150	47	499803	0
4	146	13	499841	0
5	164	44	499792	0
0	146	164	499690	0
1	146	152	499702	0
2	164	125	499711	0
3	164	120	499716	0
4	161	142	499697	0
5	154	36	499810	0
0	164	146	499690	0
1	161	154	499685	0
2	161	128	499711	0
4	161	51	499788	0
3	146	102	499752	0
5	161	11	499828	0
0	161	154	499685	0
1	161	153	499686	0
2	154	30	499816	0
3	154	86	499760	0
4	171	153	499676	0
5	156	121	499723	0
0	154	161	499685	0
1	172	156	499672	0
2	171	131	499698	0
3	171	41	499788	0
4	161	115	499724	0
5	156	166	499678	0
0	171	156	499673	0
1	171	48	499781	0
2	171	42	499787	0
3	156	128	499716	0
4	173	93	499734	0
5	173	26	499801	0
1	140	108	499752	0
2	173	38	499789	0
0	172	156	499672	0
3	140	108	499752	0
4	171	93	499736	0
5	140	142	499718	0
0	140	173	499687	0
1	140	150	499710	0
2	173	38	499789	0
3	140	133	499727	0
4	170	117	499713	0
5	151	91	499758	0
1	151	169	499680	0
0	151	170	499679	0
2	140	51	499809	0
4	140	33	499827	0
3	170	80	499750	0
5	151	153	499696	0
0	151	170	499679	0
1	151	168	499681	0
2	170	30	499800	0
3	151	62	499787	0
4	164	31	499805	0
5	172	33	499795	0
0	164	172	499664	0
1	172	13	499815	0
2	151	39	499810	0
3	170	32	499798	0
5	172	49	499779	0
4	172	93	499735	0
0	164	172	499664	0
1	172	18	499810	0
2	164	171	499665	0
3	172	134	499694	0
4	157	112	499731	0
5	175	28	499797	0
0	175	157	499668	0
1	157	160	499683	0
2	172	113	499715	0
3	164	10	499826	0
4	175	7	499818	0
5	157	77	499766	0
0	175	157	499668	0
1	157	173	499670	0
2	175	122	499703	0
3	157	48	499795	0
4	185	18	499797	0
5	152	39	499809	0
0	185	152	499663	0
2	157	7	499836	0
1	185	134	499681	0
3	175	34	499791	0
4	185	57	499758	0
5	152	78	499770	0
0	185	152	499663	0
1	185	152	499663	0
2	185	145	499670	0
3	185	8	499807	0
4	162	41	499797	0
5	144	159	499697	0
0	144	162	499694	0
1	152	117	499731	0
2	144	124	499732	0
3	185	98	499717	0
4	144	122	499734	0
5	162	119	499719	0
0	162	144	499694	0
1	162	144	499694	0
2	144	41	499815	0
3	162	113	499725	0
4	169	123	499708	0
5	169	88	499743	0
0	155	169	499676	0
1	144	138	499718	0
2	169	106	499725	0
3	144	150	499706	0
4	155	64	499781	0
1	169	144	499687	0
5	169	86	499745	0
0	155	169	499676	0
2	155	16	499829	0
3	155	145	499700	0
4	158	116	499726	0
5	150	53	499797	0
0	158	150	499692	0
1	169	134	499697	0
3	169	83	499748	0
2	150	63	499787	0
4	158	44	499798	0
5	158	29	499813	0
1	150	1	499849	0
0	150	158	499692	0
2	158	119	499723	0
3	158	102	499740	0
4	165	158	499677	0
5	158	128	499713	1
1	158	47	499795	0
0	158	164	499677	1
2	158	122	499720	0
4	165	132	499703	0
3	165	18	499817	0
5	158	149	499692	1
2	165	49	499786	0
0	158	164	499677	1
1	165	43	499792	0
3	165	129	499706	0
4	140	16	499844	0
5	176	136	499688	0
0	158	164	499677	1
1	175	29	499796	0
2	158	143	499698	1
3	140	61	499799	0
4	140	114	499746	0
5	140	47	499813	0
0	140	175	499685	0
1	175	20	499805	0
2	140	115	499745	0
3	140	102	499758	0
4	170	125	499705	0
5	166	75	499759	0
0	175	140	499685	0
1	170	166	499664	0
3	166	164	499670	0
2	140	72	499788	0
4	166	23	499811	0
5	166	11	499823	0
0	170	166	499664	0
1	170	165	499665	0
2	166	43	499791	0
3	166	54	499780	0
4	185	154	499661	0
5	197	29	499774	0
0	166	170	499664	0
1	197	168	499635	0
2	197	40	499763	0
3	166	65	499769	0
4	197	146	499657	0
5	197	160	499643	0
0	185	197	499618	0
1	197	183	499620	0
2	197	183	499620	0
3	185	101	499714	0
4	150	8	499842	0
5	150	26	499824	0
0	197	185	499618	0
1	155	150	499695	0
2	150	156	499694	0
3	185	196	499619	0
5	150	153	499697	0
4	156	42	499802	0
0	150	156	499694	0
1	156	147	499697	0
2	156	130	499714	0
3	150	136	499714	0
4	148	60	499792	0
5	148	133	499719	0
0	156	150	499694	0
1	148	169	499683	0
2	169	134	499697	0
3	150	0	499850	0
4	148	31	499821	0
5	148	36	499816	0
0	148	169	499683	0
1	169	148	499683	0
2	148	139	499713	0
3	169	143	499688	0
4	144	18	499838	0
5	144	135	499721	0
0	169	148	499683	0
1	152	132	499716	0
2	144	146	499710	0
3	148	139	499713	0
4	152	128	499720	0
0	144	152	499704	0
5	152	1	499847	0
1	144	64	499792	0
2	144	46	499810	0
3	152	107	499741	0
4	147	137	499716	0
5	163	109	499728	0
0	152	144	499704	0
2	163	96	499741	0
1	163	146	499691	0
3	152	127	499721	0
4	147	154	499699	0
5	163	113	499724	0
0	147	163	499690	0
1	147	135	499718	0
2	147	156	499697	0
3	147	15	499838	0
4	152	122	499726	0
5	152	58	499790	0
0	147	163	499690	0
1	152	129	499719	0
2	152	55	499793	0
3	147	161	499692	0
4	157	87	499756	0
5	157	21	499822	0
0	157	152	499691	0
1	152	144	499704	0
2	152	68	499780	0
3	157	149	499694	0
4	144	88	499768	0
5	165	139	499696	0
0	152	157	499691	0
1	144	18	499838	0
2	144	121	499735	0
3	152	36	499812	0
4	165	112	499723	0
5	165	38	499797	0
0	144	165	499691	0
1	165	43	499792	0
2	144	165	499691	0
3	144	165	499691	0
5	157	175	499668	0
4	157	33	499810	0
0	165	144	499691	0
1	182	147	499671	0
2	157	20	499823	0
3	165	121	499714	0
4	157	37	499806	0
5	157	78	499765	0
0	182	156	499662	0
1	156	171	499673	0
2	182	139	499679	0
3	156	131	499713	0
4	169	46	499785	0
5	169	31	499800	0
0	182	156	499662	0
1	169	176	499655	0
3	182	135	499683	0
2	176	51	499773	0
4	176	45	499779	0
5	176	165	499659	0
0	176	170	499654	0
1	169	0	499831	0
2	170	55	499775	0
3	170	153	499677	0
4	163	82	499755	0
5	160	130	499710	0
0	176	170	499654	0
1	163	161	499676	0
2	176	132	499692	0
3	160	155	499685	0
4	160	147	499693	0
5	163	152	499685	0
0	160	163	499677	0
1	160	95	499745	0
2	163	156	499681	0
3	160	50	499790	0
4	146	126	499728	0
5	146	11	499843	0
0	160	163	499677	0
1	182	7	499811	0
2	163	47	499790	0
3	146	9	499845	0
4	182	134	499684	0
5	182	69	499749	0
0	182	146	499672	0
1	146	157	499697	0
2	182	7	499811	0
3	146	141	499713	0
4	190	56	499754	0
5	170	59	499771	0
0	182	146	499672	0
1	190	170	499640	0
2	146	182	499672	0
3	170	104	499726	0
4	190	117	499693	0
5	190	67	499743	0
0	190	170	499640	0
1	170	185	499645	0
2	190	1	499809	0
3	190	168	499642	0
5	192	135	499673	0
4	178	180	499642	0
0	170	190	499640	0
1	178	53	499769	0
2	170	28	499802	0
3	192	168	499640	0
4	178	6	499816	0
5	178	151	499671	0
0	178	192	499630	0
1	192	171	499637	0
2	178	145	499677	0
3	192	178	499630	0
4	165	149	499686	0
5	165	84	499751	0
0	192	178	499630	0
1	167	18	499815	0
2	178	160	499662	0
3	165	152	499683	0
4	165	163	499672	0
5	167	121	499712	0
0	165	167	499668	0
1	165	8	499827	0
2	165	118	499717	0
3	167	151	499682	0
4	177	3	499820	0
5	177	21	499802	0
0	167	165	499668	0
1	177	137	499686	0
2	167	160	499673	0
3	177	30	499793	0
4	138	155	499707	0
5	138	14	499848	0
0	177	138	499685	0
1	177	138	499685	0
2	138	144	499718	0
4	161	118	499721	0
3	177	120	499703	0
5	161	72	499767	0
0	138	177	499685	0
1	161	162	499677	0
2	138	21	499841	0
3	163	86	499751	0
4	161	104	499735	0
5	163	95	499742	0
0	161	163	499676	0
1	161	163	499676	0
2	161	154	499685	0
3	184	150	499666	0
4	161	84	499755	0
5	179	102	499719	0
0	163	161	499676	0
1	179	184	499637	0
2	163	80	499757	0
3	179	133	499688	0
4	184	101	499715	0
5	179	135	499686	0
0	184	179	499637	0
1	179	159	499662	0
3	165	69	499766	0
5	158	34	499808	0
4	179	104	499717	0
2	184	113	499703	0
0	184	179	499637	0
1	165	10	499825	0
2	184	158	499658	0
3	165	158	499677	0
4	158	56	499786	0
5	158	3	499839	0
0	165	158	499677	0
2	171	65	499764	0
3	171	115	499714	0
4	165	123	499712	0
1	158	41	499801	0
5	158	31	499811	0
0	165	158	499677	0
1	171	119	499710	0
2	165	44	499791	0
3	151	110	499739	0
4	171	131	499698	0
5	151	154	499695	0
0	171	151	499678	0
2	181	73	499746	0
1	181	4	499815	0
3	171	101	499728	0
4	171	42	499787	0
5	151	128	499721	0
0	151	171	499678	0
1	181	147	499672	0
2	171	133	499696	0
3	181	44	499775	0
4	159	29	499812	0
5	181	63	499756	0
0	159	181	499660	0
1	173	183	499644	0
2	187	83	499730	0
3	159	21	499820	0
4	181	31	499788	0
5	181	159	499660	0
0	181	159	499660	0
1	173	132	499695	0
2	159	29	499812	0
4	173	169	499658	0
3	187	59	499754	0
5	187	158	499655	0
0	187	173	499640	0
1	146	148	499706	0
2	146	135	499719	0
3	187	23	499790	0
5	173	49	499778	0
4	173	61	499766	0
0	187	173	499640	0
1	146	22	499832	0
2	187	173	499640	0
3	154	122	499724	0
4	154	14	499832	0
5	146	119	499735	0
0	154	146	499700	0
1	180	101	499719	0
2	180	139	499681	0
3	154	91	499755	0
4	154	17	499829	0
5	146	35	499819	0
0	146	154	499700	0
1	174	180	499646	0
2	146	5	499849	0
3	174	164	499662	0
4	174	30	499796	0
5	174	58	499768	0
1	162	101	499737	0
0	180	174	499646	0
3	174	122	499704	0
2	162	121	499717	0
0	174	180	499646	0
1	162	20	499818	0
4	174	136	499690	0
5	180	169	499651	0
2	174	164	499662	0
3	156	156	499688	0
5	162	11	499827	0
4	156	4	499840	0
0	148	176	499676	0
2	162	3	499835	0
1	156	65	499779	0
3	148	8	499844	0
4	156	61	499783	0
5	176	3	499821	0
0	156	162	499682	0
1	156	110	499734	0
2	156	45	499799	0
3	176	77	499747	0
4	176	35	499789	0
5	176	118	499706	0
0	138	165	499697	0
1	176	127	499697	0
3	165	107	499728	0
2	148	131	499721	0
4	176	139	499685	0
5	138	40	499822	0
0	176	148	499676	0
1	176	148	499676	0
2	176	90	499734	0
3	165	22	499813	0
4	165	4	499831	0
5	138	103	499759	0
0	157	170	499673	0
1	165	0	499835	0
2	157	0	499843	0
3	165	68	499767	0
4	165	8	499827	0
5	157	146	499697	0
2	138	148	499714	0
0	138	165	499697	0
1	165	87	499748	0
3	170	116	499714	0
4	170	109	499721	0
5	170	49	499781	0
0	163	175	499662	0
1	170	155	499675	0
2	175	133	499692	0
3	170	138	499692	0
5	163	84	499753	0
4	157	30	499813	0
0	157	170	499673	0
1	157	104	499739	0
2	170	66	499764	0
3	163	90	499747	0
4	163	69	499768	0
5	175	95	499730	0
0	145	174	499681	0
1	175	152	499673	0
2	174	144	499682	0
3	163	37	499800	0
4	174	11	499815	0
5	163	129	499708	0
0	175	163	499662	0
1	163	18	499819	0
2	175	14	499811	0
3	174	136	499690	0
4	145	154	499701	0
5	174	8	499818	0
0	154	162	499684	0
1	174	128	499698	0
2	154	156	499690	0
3	145	167	499688	0
4	162	34	499804	0
5	145	174	499681	0
0	145	174	499681	0
1	145	23	499832	0
3	154	37	499809	0
2	174	101	499725	0
4	154	103	499743	0
5	154	143	499703	0
0	149	155	499696	0
1	154	15	499831	0
2	155	143	499702	0
4	155	55	499790	0
5	154	24	499822	0
3	154	43	499803	0
0	154	162	499684	0
2	149	20	499831	0
1	162	31	499807	0
4	155	26	499819	0
3	162	37	499801	0
5	155	118	499727	0
0	175	139	499686	0
1	149	93	499758	0
2	175	136	499689	0
3	139	82	499779	0
4	149	154	499697	0
5	149	155	499696	0
0	155	149	499696	0
1	175	87	499738	0
3	139	82	499779	0
2	149	113	499738	0
4	149	29	499822	0
5	175	83	499742	0
0	159	146	499695	0
1	139	164	499697	0
2	146	152	499702	0
3	146	139	499715	0
4	139	167	499694	0
5	175	74	499751	0
0	139	175	499686	0
1	159	140	499701	0
2	146	159	499695	0
3	175	131	499694	0
4	139	148	499713	0
5	159	113	499728	0
0	167	178	499655	0
1	146	159	499695	0
2	178	12	499810	0
3	167	112	499721	0
4	146	28	499826	0
5	146	139	499715	0
0	146	159	499695	0
1	178	136	499686	0
2	178	167	499655	0
3	146	152	499702	0
5	167	1	499832	0
4	159	22	499819	0
0	182	158	499660	0
1	178	83	499739	0
2	182	36	499782	0
3	158	5	499837	0
4	178	166	499656	0
0	178	167	499655	0
5	178	163	499659	0
1	182	158	499660	0
2	182	23	499795	0
3	178	120	499702	0
4	182	125	499693	0
5	167	95	499738	0
0	170	165	499665	0
1	158	60	499782	0
2	165	119	499716	0
3	165	103	499732	0
4	182	152	499666	0
5	182	154	499664	0
0	158	182	499660	0
1	165	170	499665	0
2	170	117	499713	0
3	182	115	499703	0
4	165	21	499814	0
5	158	109	499733	0
0	175	158	499667	0
1	169	166	499665	0
2	158	167	499675	0
