IN	R	M	N	B
1	150	43	499807	0
2	150	53	499797	0
3	175	147	499678	0
4	135	32	499833	0
5	170	101	499728	1
0	170	177	499652	1
1	175	26	499799	0
2	174	101	499725	0
3	175	93	499732	0
4	165	10	499825	0
5	165	148	499687	0
0	135	174	499691	0
1	165	39	499796	0
2	165	23	499812	0
3	152	24	499824	0
4	175	32	499793	0
5	135	159	499706	0
0	174	135	499691	0
1	165	152	499683	0
2	150	56	499794	0
3	165	24	499811	0
4	152	31	499817	0
5	157	37	499806	0
0	150	175	499675	0
1	157	152	499691	0
2	152	107	499741	0
3	157	112	499731	0
4	165	33	499802	0
5	175	34	499791	0
0	175	150	499675	0
1	152	153	499695	0
2	152	86	499762	0
3	157	134	499709	0
4	156	119	499725	0
5	156	131	499713	0
0	152	165	499683	0
1	132	32	499836	0
2	132	150	499718	0
3	132	28	499840	0
4	152	9	499839	0
5	165	18	499817	0
0	165	152	499683	0
1	156	2	499842	0
2	157	35	499808	0
3	132	29	499839	0
4	150	159	499691	0
5	164	25	499811	0
0	157	152	499691	0
1	150	36	499814	0
2	164	133	499703	0
3	150	38	499812	0
4	156	130	499714	0
5	157	20	499823	0
0	157	152	499691	0
1	150	17	499833	0
2	132	63	499805	0
3	150	151	499699	0
4	134	115	499751	0
5	134	23	499843	0
0	156	132	499712	0
1	154	111	499735	0
2	134	34	499832	0
3	154	7	499839	0
4	150	136	499714	0
5	132	97	499771	0
0	156	132	499712	0
1	134	77	499789	0
2	164	135	499701	0
3	134	22	499844	0
4	139	27	499834	0
5	165	128	499707	0
0	164	150	499686	0
2	164	139	499697	0
1	139	3	499858	0
3	139	1	499860	0
4	154	100	499746	0
5	164	135	499701	0
0	164	150	499686	0
1	164	24	499812	0
2	134	121	499745	0
3	139	151	499710	0
4	155	121	499724	0
5	147	124	499728	1
0	134	154	499712	0
1	155	94	499751	0
2	148	39	499813	0
3	146	109	499743	2
4	139	111	499750	0
5	134	130	499736	0
0	134	154	499712	0
1	146	127	499725	2
2	139	118	499743	0
3	146	86	499766	2
4	135	151	499714	0
5	135	144	499721	0
0	164	139	499697	0
1	166	134	499700	0
2	166	50	499784	0
3	166	20	499814	0
4	146	40	499812	2
5	139	37	499824	0
0	164	139	499697	0
1	166	135	499699	0
3	166	33	499801	0
2	155	122	499723	0
4	176	48	499776	0
5	176	26	499798	0
0	155	148	499697	0
1	176	141	499683	0
2	176	85	499739	0
3	152	153	499695	0
4	135	154	499711	0
5	155	32	499813	0
0	146	152	499700	2
1	176	113	499711	0
2	152	148	499700	0
3	166	123	499711	0
4	163	39	499798	0
5	142	115	499743	0
0	166	135	499699	0
1	163	121	499716	0
2	142	98	499760	0
3	142	66	499792	0
4	176	118	499706	0
5	135	142	499723	0
0	135	166	499699	0
1	163	93	499744	0
2	142	133	499725	0
3	152	153	499695	0
4	146	154	499700	0
5	165	140	499695	0
0	176	152	499672	0
1	146	165	499689	0
2	165	116	499719	0
3	146	164	499690	0
4	163	63	499774	0
5	176	90	499734	0
0	152	176	499672	0
1	146	90	499764	0
2	165	108	499727	0
3	142	66	499792	0
4	162	30	499808	0
5	162	119	499719	0
0	142	163	499695	0
1	164	140	499696	0
2	162	31	499807	0
3	162	132	499706	0
4	165	52	499783	0
5	163	69	499768	0
0	142	163	499695	0
1	164	149	499687	0
2	164	34	499802	0
3	146	164	499690	0
4	157	155	499688	0
5	157	150	499693	0
0	146	165	499689	0
1	157	151	499692	0
2	157	103	499740	0
3	157	128	499715	0
4	164	141	499695	0
5	146	121	499733	0
0	165	146	499689	0
1	157	158	499685	0
2	157	82	499761	0
3	162	132	499706	0
4	170	18	499812	0
5	137	75	499788	0
0	164	162	499674	0
1	170	102	499728	0
2	170	112	499718	0
3	170	115	499715	0
4	157	128	499715	0
5	164	124	499712	0
0	164	162	499674	0
1	137	170	499693	0
2	137	147	499716	0
3	157	128	499715	0
4	141	151	499708	0
5	158	62	499780	0
0	157	157	499686	0
2	157	106	499737	0
1	141	21	499838	0
3	141	153	499706	0
4	137	145	499718	0
5	157	134	499709	0
0	157	157	499686	0
1	157	22	499821	0
2	157	140	499703	0
3	170	115	499715	0
4	155	15	499830	0
5	167	137	499696	0
0	170	137	499693	0
1	156	53	499791	0
2	156	54	499790	0
3	156	70	499774	0
4	157	50	499793	0
5	170	132	499698	0
0	170	137	499693	0
1	156	38	499806	0
2	167	154	499679	0
3	141	153	499706	0
4	172	16	499812	0
5	166	44	499790	0
0	157	141	499702	0
1	166	59	499775	0
2	166	70	499764	0
3	172	64	499764	0
4	167	66	499767	0
5	157	135	499708	0
0	141	157	499702	0
1	166	46	499788	0
2	172	118	499710	0
3	156	70	499774	0
4	163	129	499708	0
5	156	145	499699	0
0	167	156	499677	0
1	156	92	499752	0
2	156	51	499793	0
3	164	156	499680	0
4	166	167	499667	0
5	156	164	499680	0
0	167	155	499678	0
1	156	1	499843	0
2	156	47	499797	0
3	172	64	499764	0
4	162	170	499668	0
5	176	149	499675	0
0	172	166	499662	0
1	162	99	499739	0
2	176	111	499713	0
3	162	5	499833	0
4	156	59	499785	0
5	172	142	499686	0
0	172	166	499662	0
1	163	55	499782	0
2	163	176	499661	0
3	164	156	499680	0
4	143	121	499736	0
5	162	36	499802	0
0	156	163	499681	0
1	162	53	499785	0
2	143	124	499733	0
3	162	85	499753	0
4	163	151	499686	0
5	156	23	499821	0
0	156	164	499680	0
1	162	44	499794	0
2	143	160	499697	0
3	162	5	499833	0
4	166	19	499815	0
5	140	149	499711	0
0	176	163	499661	0
1	166	132	499702	0
2	140	166	499694	0
3	166	12	499822	0
4	162	136	499702	0
5	176	67	499757	0
0	162	176	499662	0
1	140	148	499712	0
2	166	123	499711	0
3	162	85	499753	0
4	163	118	499719	0
5	159	101	499740	0
0	143	162	499695	0
2	159	154	499687	0
1	163	16	499821	0
3	163	88	499749	0
4	140	123	499737	0
5	143	120	499737	0
0	143	163	499694	0
1	163	149	499688	0
2	159	158	499683	0
3	166	12	499822	0
4	161	17	499822	0
5	142	75	499783	0
0	166	140	499694	0
1	142	160	499698	0
2	142	158	499700	0
3	142	121	499737	0
4	159	97	499744	0
5	140	14	499846	0
0	140	166	499694	0
1	142	85	499773	0
2	161	102	499737	0
3	163	88	499749	0
4	145	144	499711	0
5	165	56	499779	0
0	159	163	499678	0
1	165	35	499800	0
2	145	84	499771	0
3	145	27	499828	0
4	161	68	499771	0
5	159	153	499688	0
0	163	159	499678	0
1	145	128	499727	0
2	145	20	499835	0
3	142	121	499737	0
4	148	60	499792	0
5	140	56	499804	0
0	142	161	499697	0
1	148	24	499828	0
2	148	128	499724	0
3	140	143	499717	0
4	165	29	499806	0
5	161	118	499721	0
0	161	142	499697	0
1	140	37	499823	0
3	145	27	499828	0
2	140	148	499712	0
4	165	65	499770	0
5	165	107	499728	0
0	145	165	499690	0
1	164	122	499714	0
2	160	163	499677	0
3	160	132	499708	0
4	148	96	499756	0
5	145	51	499804	0
0	165	145	499690	0
1	160	163	499677	0
2	148	126	499726	0
3	160	72	499768	0
4	151	54	499795	0
5	151	94	499755	0
0	140	148	499712	0
1	142	151	499707	0
2	142	52	499806	0
3	142	138	499720	0
4	164	121	499715	0
5	140	67	499793	0
0	140	148	499712	0
1	141	14	499845	0
2	160	137	499703	0
3	141	125	499734	0
4	146	114	499740	0
5	146	184	499670	0
0	160	164	499676	0
1	146	131	499723	0
2	146	190	499664	0
3	146	187	499667	0
4	152	28	499820	0
5	164	108	499728	0
0	165	160	499675	0
1	189	145	499666	0
2	142	132	499726	0
3	146	31	499823	0
4	163	160	499677	0
5	162	1	499837	0
0	141	152	499707	0
1	163	162	499675	0
2	162	49	499789	0
3	163	160	499677	0
4	147	38	499815	0
5	142	81	499777	0
0	142	151	499707	0
1	164	82	499754	0
2	146	107	499747	0
3	163	80	499757	0
4	165	34	499801	0
5	165	174	499661	0
0	146	190	499664	0
1	165	175	499660	0
2	165	36	499799	0
3	165	56	499779	0
4	163	148	499689	0
5	190	144	499666	0
0	146	190	499664	0
1	175	4	499821	0
2	162	94	499744	0
3	175	10	499815	0
4	136	40	499824	0
5	137	34	499829	0
0	163	162	499675	0
1	136	29	499835	0
2	136	17	499847	0
4	165	150	499685	0
3	136	92	499772	0
5	162	4	499834	0
0	163	162	499675	0
1	157	60	499783	0
2	175	143	499682	0
3	136	141	499723	0
4	171	99	499730	0
5	171	80	499749	0
0	175	165	499660	0
1	171	33	499796	0
2	119	137	499744	0
4	171	103	499726	0
3	136	14	499850	0
5	175	163	499662	0
0	175	165	499660	0
1	171	116	499713	0
2	136	21	499843	0
3	171	67	499762	0
4	164	125	499711	0
5	164	132	499704	0
0	136	157	499707	0
1	164	82	499754	0
2	164	111	499725	0
3	164	115	499721	0
4	171	117	499712	0
5	136	144	499720	0
0	157	136	499707	0
1	138	143	499719	0
2	171	9	499820	0
3	138	4	499858	0
4	148	22	499830	0
5	148	154	499698	0
0	119	171	499710	0
1	148	62	499790	0
2	155	45	499800	0
3	148	52	499800	0
4	138	41	499821	0
5	119	154	499727	0
0	171	119	499710	0
1	148	150	499702	0
2	164	1	499835	0
3	148	150	499702	0
4	158	139	499703	0
5	158	64	499778	0
0	164	138	499698	0
1	158	120	499722	0
2	158	62	499780	0
4	155	128	499717	0
3	143	67	499790	0
5	138	145	499717	0
0	164	138	499698	0
1	143	145	499712	0
2	148	116	499736	0
3	158	132	499710	0
4	154	27	499819	0
5	173	19	499808	0
0	155	148	499697	0
1	173	77	499750	0
2	173	88	499739	0
3	143	158	499699	0
4	173	135	499692	0
5	155	92	499753	0
0	155	148	499697	0
1	154	168	499678	0
2	158	123	499719	0
3	154	124	499722	0
4	138	129	499733	0
5	132	128	499740	0
0	143	158	499699	0
1	138	131	499731	0
2	132	7	499861	0
3	154	165	499681	0
4	132	136	499732	0
5	143	94	499763	0
0	158	143	499699	0
1	132	93	499775	0
2	154	35	499811	0
3	138	11	499851	0
4	154	56	499790	0
5	154	148	499698	0
0	173	154	499673	0
1	159	0	499841	0
2	154	141	499705	0
3	138	93	499769	0
4	154	52	499794	0
5	173	146	499681	0
0	173	154	499673	0
1	159	154	499687	0
2	132	109	499759	0
3	154	142	499704	0
4	168	156	499676	0
5	177	5	499818	0
0	138	132	499730	0
1	168	161	499671	0
2	177	115	499708	0
3	154	33	499813	0
4	177	81	499742	0
5	132	2	499866	0
0	132	138	499730	0
1	168	6	499826	0
2	159	152	499689	0
3	177	80	499743	0
4	154	109	499737	0
5	154	52	499794	0
0	154	159	499687	0
1	153	105	499742	0
2	154	155	499691	0
3	168	116	499716	0
4	161	59	499780	0
5	159	10	499831	0
0	154	159	499687	0
1	153	154	499693	0
2	168	70	499762	0
3	161	110	499729	0
4	170	142	499688	0
5	183	158	499659	0
0	177	168	499655	0
1	171	54	499775	0
2	170	166	499664	0
3	153	13	499834	0
4	170	102	499728	0
5	168	122	499710	0
0	177	168	499655	0
1	171	183	499646	0
2	154	30	499816	0
3	171	67	499762	0
4	162	50	499788	0
5	149	162	499689	0
0	153	161	499686	0
1	161	141	499698	0
2	149	150	499701	0
3	183	15	499802	0
4	148	9	499843	0
5	161	39	499800	0
0	154	161	499685	0
1	161	94	499745	0
2	170	120	499710	0
3	161	119	499720	0
4	152	128	499720	0
5	152	36	499812	0
0	183	171	499646	0
1	161	135	499704	0
2	160	135	499705	0
3	161	71	499768	0
4	161	86	499753	0
5	170	66	499764	0
0	183	170	499647	0
1	153	161	499686	0
2	161	131	499708	0
3	161	68	499771	0
4	171	86	499743	0
5	158	41	499801	0
0	161	148	499691	0
1	158	152	499690	0
2	171	3	499826	0
3	161	9	499830	0
4	158	29	499813	0
5	149	46	499805	0
0	149	162	499689	0
1	171	37	499792	0
2	160	130	499710	0
3	171	129	499700	0
4	156	6	499838	0
5	162	155	499683	0
0	153	161	499686	0
1	156	85	499759	0
2	156	51	499793	0
4	156	147	499697	0
3	158	59	499783	0
5	160	139	499701	0
0	152	160	499688	0
1	156	162	499682	0
2	171	138	499691	0
3	162	151	499687	0
4	144	162	499694	0
5	167	95	499738	0
0	158	171	499671	0
1	144	151	499705	0
2	144	154	499702	0
3	167	82	499751	0
4	162	118	499720	0
5	158	129	499713	0
0	158	171	499671	0
1	167	129	499704	0
2	162	72	499766	0
3	144	166	499690	0
4	171	9	499820	0
5	161	79	499760	0
0	156	162	499682	0
1	161	40	499799	0
2	161	143	499696	0
3	171	137	499692	0
4	167	15	499818	0
5	162	71	499767	0
0	156	162	499682	0
1	171	124	499705	0
2	144	49	499807	0
3	171	108	499721	0
4	141	35	499824	0
5	141	1	499858	0
0	167	144	499689	0
1	163	141	499696	0
2	163	128	499709	0
3	163	11	499826	0
4	171	38	499791	0
5	144	24	499832	0
0	144	167	499689	0
1	163	141	499696	0
2	161	167	499672	0
3	163	120	499717	0
4	166	32	499802	0
5	166	116	499718	0
0	171	161	499668	0
1	166	122	499712	0
2	122	165	499713	0
3	123	44	499833	0
4	140	42	499818	0
5	161	19	499820	0
0	161	171	499668	0
1	123	143	499734	0
2	163	126	499711	0
3	166	84	499750	0
4	186	129	499685	0
5	151	172	499677	0
0	140	163	499697	0
1	151	98	499751	0
2	186	112	499702	0
3	151	35	499814	0
4	166	113	499721	0
5	141	51	499808	0
0	163	141	499696	0
1	187	132	499681	0
2	122	65	499813	0
3	151	170	499679	0
4	153	66	499781	0
5	172	0	499828	0
0	123	166	499711	0
1	172	14	499814	0
2	153	160	499687	0
3	153	65	499782	0
4	186	14	499800	0
5	122	141	499737	0
0	122	166	499712	0
1	172	112	499716	0
2	186	20	499794	0
3	172	57	499771	0
4	140	117	499743	0
5	149	41	499810	0
0	151	186	499663	0
1	149	140	499711	0
2	140	127	499733	0
3	140	128	499732	0
4	153	20	499827	0
5	151	116	499733	0
0	151	186	499663	0
1	140	126	499734	0
2	153	12	499835	0
3	140	100	499760	0
4	169	86	499745	0
5	169	40	499791	0
0	153	172	499675	0
1	169	166	499665	0
2	166	123	499711	0
3	169	141	499690	0
4	140	120	499740	0
5	153	141	499706	0
0	172	153	499675	0
1	166	76	499758	0
2	149	127	499724	0
3	169	97	499734	0
4	168	146	499686	0
5	177	61	499762	0
0	149	140	499711	0
1	168	151	499681	0
2	177	132	499691	0
3	168	100	499732	0
4	169	146	499685	0
5	149	76	499775	0
0	140	149	499711	0
1	167	44	499789	0
2	166	14	499820	0
3	168	177	499655	0
4	175	136	499689	0
5	177	14	499809	0
0	166	169	499665	0
1	177	85	499738	0
2	175	147	499678	0
3	177	30	499793	0
4	177	129	499694	0
5	169	79	499752	0
0	169	166	499665	0
1	175	170	499655	0
2	168	164	499668	0
3	177	170	499653	0
4	170	124	499706	0
5	170	136	499694	0
0	167	177	499656	0
1	151	168	499680	1
2	170	142	499688	0
3	170	151	499679	0
4	178	175	499647	0
5	177	37	499786	0
0	168	177	499655	0
1	151	163	499685	1
2	175	114	499711	0
3	151	166	499682	1
4	126	11	499863	0
5	147	106	499747	0
0	178	175	499647	0
1	147	70	499783	0
2	126	143	499731	0
3	147	125	499728	0
4	170	50	499780	0
5	175	153	499672	0
0	175	177	499648	0
1	147	125	499728	0
2	170	35	499795	0
3	147	117	499736	0
4	146	49	499805	0
5	152	126	499722	0
0	170	152	499678	0
2	146	111	499743	0
1	146	33	499821	0
3	153	141	499706	0
4	147	95	499758	0
5	170	76	499754	0
0	170	152	499678	0
1	154	91	499755	0
2	126	88	499786	0
3	146	117	499737	0
4	172	151	499677	0
5	170	107	499723	0
0	147	125	499728	0
1	172	97	499731	0
2	172	22	499806	0
3	170	122	499708	0
4	146	122	499732	0
5	147	12	499841	0
0	147	126	499727	0
1	172	18	499810	0
2	146	117	499737	0
3	169	138	499693	0
4	134	142	499724	0
5	148	13	499839	0
0	146	154	499700	0
1	148	106	499746	0
2	148	108	499744	0
3	134	94	499772	0
4	172	112	499716	0
5	153	62	499785	0
0	153	146	499701	0
1	135	6	499859	0
2	172	43	499785	0
3	135	135	499730	0
4	157	143	499700	0
5	157	144	499699	0
0	172	169	499659	0
1	157	119	499724	0
2	165	12	499823	0
3	157	125	499718	0
4	135	101	499764	0
5	170	37	499793	0
0	170	172	499658	0
1	157	165	499678	0
2	148	46	499806	0
3	165	126	499709	0
4	180	117	499703	0
5	180	134	499686	0
0	148	135	499717	0
1	180	3	499817	0
2	170	163	499667	0
3	180	110	499710	0
4	157	52	499791	0
5	134	65	499801	0
0	148	134	499718	0
1	180	119	499701	0
2	165	157	499678	0
3	170	92	499738	0
4	150	92	499758	0
5	159	81	499760	0
0	157	165	499678	0
1	150	132	499718	0
2	159	128	499713	0
3	150	150	499700	0
4	180	151	499669	0
5	165	37	499798	0
0	157	165	499678	0
1	159	21	499820	0
2	170	111	499719	0
3	150	11	499839	0
4	157	12	499831	0
5	157	125	499718	0
0	180	170	499650	0
1	157	17	499826	0
2	157	145	499698	0
3	151	131	499718	0
4	150	131	499719	0
5	170	168	499662	0
0	170	180	499650	0
1	151	157	499692	0
2	150	132	499718	0
3	151	126	499723	0
4	186	16	499798	0
5	145	170	499685	0
0	159	150	499691	0
1	145	172	499683	0
2	145	113	499742	0
3	145	127	499728	0
4	157	23	499820	0
5	159	25	499816	0
0	150	159	499691	0
2	157	112	499731	0
1	186	145	499669	0
3	186	14	499800	0
4	146	110	499744	0
5	166	22	499812	0
0	151	157	499692	0
1	165	143	499691	1
2	166	8	499826	0
3	146	30	499824	0
4	186	31	499783	0
5	157	65	499778	0
0	151	157	499692	0
1	186	102	499712	0
2	146	129	499725	0
3	146	35	499819	0
4	151	67	499782	0
5	181	131	499688	0
0	186	145	499669	0
1	180	13	499807	0
2	179	97	499723	1
3	179	122	499698	1
4	165	134	499700	1
5	145	178	499677	0
0	186	145	499669	0
1	146	85	499769	0
2	180	57	499763	0
3	151	21	499828	0
4	189	123	499688	0
5	164	108	499728	0
0	165	145	499689	1
1	189	156	499655	0
2	165	60	499775	0
3	165	164	499671	0
4	179	68	499752	1
5	146	11	499843	0
0	165	145	499689	1
1	179	26	499794	1
2	189	100	499711	0
3	189	82	499729	0
4	170	51	499779	0
5	170	136	499694	0
0	179	150	499670	1
1	147	139	499714	0
2	170	91	499739	0
3	147	40	499813	0
4	165	16	499819	0
5	151	46	499803	0
0	179	150	499670	1
1	189	96	499715	0
2	147	22	499831	0
3	147	144	499709	0
4	141	156	499703	0
5	141	105	499754	0
0	189	165	499646	0
1	181	89	499730	0
2	181	8	499811	0
3	141	48	499811	0
4	170	45	499785	0
5	165	63	499772	0
0	189	165	499646	0
1	170	146	499684	0
2	181	32	499787	0
3	141	130	499729	0
4	172	50	499778	0
5	165	71	499764	0
0	147	170	499683	0
1	172	145	499683	0
2	172	120	499708	0
3	172	22	499806	0
4	141	150	499709	0
5	147	165	499688	0
0	170	147	499683	0
1	141	179	499680	0
2	172	131	499697	0
3	172	0	499828	0
4	150	137	499713	0
5	145	52	499803	0
0	181	141	499678	0
1	150	142	499708	0
3	145	125	499730	0
2	145	110	499745	0
4	172	48	499780	0
5	141	141	499718	0
0	181	141	499678	0
1	165	94	499741	0
2	150	53	499797	0
3	145	113	499742	0
4	175	79	499746	0
5	175	0	499825	0
0	165	172	499663	0
1	175	123	499702	0
2	151	12	499837	0
3	151	88	499761	0
4	150	58	499792	0
5	172	144	499684	0
0	172	165	499663	0
1	145	142	499713	0
2	151	142	499707	0
3	151	109	499740	0
4	163	173	499664	0
5	173	48	499779	0
0	150	145	499705	0
1	163	170	499667	0
2	163	68	499769	0
3	163	68	499769	0
4	175	129	499696	0
5	145	108	499747	0
0	150	145	499705	0
1	151	24	499825	0
2	173	144	499683	0
3	173	40	499787	0
4	176	146	499678	0
5	163	82	499755	0
0	175	151	499674	0
1	163	110	499727	0
2	163	104	499733	0
3	163	140	499697	0
4	173	145	499682	0
0	151	175	499674	0
5	175	44	499781	0
1	173	163	499664	0
2	163	115	499722	0
3	176	149	499675	0
4	143	6	499851	0
5	143	8	499849	0
0	173	163	499664	0
1	143	153	499704	0
2	143	140	499717	0
3	143	51	499806	0
4	176	55	499769	0
5	164	0	499836	0
0	163	173	499664	0
1	163	148	499689	0
2	143	146	499711	0
3	157	103	499740	0
4	156	29	499815	0
5	156	145	499699	0
0	176	163	499661	0
1	169	152	499679	0
2	156	127	499717	0
3	156	144	499700	0
4	157	97	499746	0
0	176	163	499661	0
5	176	95	499729	0
1	143	87	499770	0
2	156	10	499834	0
3	169	97	499734	0
4	160	43	499797	0
5	169	108	499723	0
0	143	157	499700	0
1	169	61	499770	0
2	169	35	499796	0
3	160	41	499799	0
4	169	60	499771	0
0	143	157	499700	0
5	157	108	499735	0
1	169	141	499690	0
2	160	138	499702	0
3	169	124	499707	0
4	157	113	499730	0
5	157	36	499807	0
0	156	169	499675	0
1	160	25	499815	0
2	160	119	499721	0
3	157	68	499775	0
4	160	25	499815	0
0	169	156	499675	0
5	169	140	499691	0
1	160	169	499671	0
2	159	116	499725	0
3	160	138	499702	0
4	162	71	499767	0
5	156	147	499697	0
0	160	169	499671	0
1	156	24	499820	0
2	156	148	499696	0
3	162	135	499703	0
4	157	76	499767	0
0	169	160	499671	0
5	160	129	499711	0
1	157	57	499786	0
2	162	131	499707	0
3	162	154	499684	0
4	170	173	499657	0
5	170	29	499801	0
0	160	157	499683	0
1	170	190	499640	0
2	170	179	499651	0
3	170	96	499734	0
4	156	141	499703	0
0	157	160	499683	0
5	157	57	499786	0
1	162	156	499682	0
2	191	16	499793	0
3	170	47	499783	0
4	140	56	499804	0
5	140	7	499853	0
0	162	156	499682	0
1	140	129	499731	0
2	140	116	499744	0
3	140	88	499772	0
4	170	177	499653	0
0	156	162	499682	0
5	162	56	499782	0
1	191	137	499672	0
2	140	107	499753	0
3	140	4	499856	0
4	160	95	499745	0
5	160	143	499697	0
0	170	191	499639	0
1	160	116	499724	0
2	160	151	499689	0
3	175	93	499732	0
4	140	136	499724	0
5	170	190	499640	0
0	191	170	499639	0
1	140	38	499822	0
2	160	152	499688	0
3	160	175	499665	0
4	161	28	499811	0
5	160	105	499735	0
0	140	141	499719	0
1	160	140	499700	0
3	161	152	499687	0
2	160	20	499820	0
4	160	45	499795	0
5	140	63	499797	0
0	141	140	499719	0
1	175	134	499691	0
2	160	22	499818	0
3	161	5	499834	0
4	160	191	499649	0
5	160	155	499685	0
0	175	160	499665	0
1	194	106	499700	0
2	160	117	499723	0
3	160	186	499654	0
4	160	113	499727	0
5	175	139	499686	0
0	175	160	499665	0
1	160	9	499831	0
2	160	23	499817	0
3	194	128	499678	0
4	161	106	499733	0
5	161	174	499665	0
0	160	161	499679	0
1	161	22	499817	0
2	161	86	499753	0
3	179	158	499663	0
4	194	49	499757	0
5	161	106	499733	0
0	160	161	499679	0
1	160	37	499803	0
2	179	94	499727	0
3	179	7	499814	0
4	184	97	499719	0
5	174	158	499668	0
0	160	194	499646	0
1	174	75	499751	0
2	184	36	499780	0
3	184	55	499761	0
4	179	13	499808	0
5	160	81	499759	0
0	160	194	499646	0
1	161	52	499787	0
2	173	40	499787	0
3	173	179	499648	0
4	150	81	499769	0
5	169	140	499691	0
0	179	161	499660	0
1	149	168	499682	1
3	149	108	499742	1
2	149	111	499739	1
4	173	143	499684	0
0	179	161	499660	0
5	179	45	499776	0
1	184	169	499647	0
2	170	143	499687	0
3	149	107	499743	1
4	131	22	499847	0
5	166	80	499754	0
0	173	184	499643	0
1	131	60	499809	0
2	166	38	499796	0
3	131	120	499749	0
4	150	57	499793	0
5	184	41	499775	0
0	174	184	499642	0
1	169	32	499799	0
2	131	135	499734	0
3	131	141	499728	0
4	166	173	499661	0
5	178	124	499698	0
0	149	169	499681	1
1	166	152	499682	0
2	166	50	499784	0
3	178	123	499699	0
4	131	23	499846	0
0	149	168	499682	1
5	169	3	499828	0
1	131	134	499735	0
2	178	154	499668	0
3	166	128	499706	0
4	170	113	499717	0
5	165	125	499710	0
0	166	131	499703	0
1	165	142	499693	0
3	165	34	499801	0
2	165	143	499692	0
4	178	53	499769	0
0	166	131	499703	0
5	131	67	499802	0
1	178	166	499656	0
2	170	15	499815	0
3	165	125	499710	0
4	153	98	499749	0
5	153	143	499704	0
0	178	166	499656	0
1	153	136	499711	0
2	153	155	499692	0
3	153	59	499788	0
4	170	129	499701	0
5	166	30	499804	0
0	178	166	499656	0
1	165	162	499673	0
2	158	140	499702	0
3	158	21	499821	0
4	147	145	499708	0
5	174	96	499730	0
0	170	165	499665	0
1	174	28	499798	0
2	147	119	499734	0
3	174	12	499814	0
4	158	21	499821	0
0	170	165	499665	0
5	165	10	499825	0
1	158	138	499704	0
2	147	110	499743	0
3	147	168	499685	0
4	145	133	499722	0
5	145	6	499849	0
0	158	153	499689	0
1	145	92	499763	0
2	150	81	499769	0
3	145	149	499706	0
4	174	46	499780	0
0	158	153	499689	0
5	158	12	499830	0
1	174	146	499680	0
2	145	150	499705	0
3	150	129	499721	0
4	173	15	499812	0
5	147	123	499730	0
0	174	147	499679	0
1	173	1	499826	0
2	147	170	499683	0
3	173	91	499736	0
4	150	124	499726	0
5	147	152	499701	0
0	147	174	499679	0
1	150	142	499708	0
2	173	38	499789	0
3	147	26	499827	0
4	168	119	499713	0
5	181	53	499766	0
0	145	150	499705	0
1	168	102	499730	0
2	181	135	499684	0
3	168	160	499672	0
4	147	45	499808	0
5	150	118	499732	0
0	150	145	499705	0
1	147	10	499843	0
2	168	128	499704	0
3	181	167	499652	0
4	154	65	499781	0
5	143	45	499812	0
0	147	173	499680	0
1	154	141	499705	0
2	154	142	499704	0
3	154	113	499733	0
4	168	5	499827	0
5	173	121	499706	0
0	147	173	499680	0
1	168	126	499706	0
2	143	45	499812	0
3	143	113	499744	0
4	148	90	499762	0
5	161	24	499815	0
0	181	168	499651	0
1	148	152	499700	0
2	161	127	499712	0
3	148	161	499691	0
4	154	132	499714	0
5	168	12	499820	0
0	168	181	499651	0
1	154	102	499744	0
2	161	82	499757	0
3	161	141	499698	0
4	172	90	499738	0
5	159	160	499681	0
0	143	154	499703	0
1	159	1	499840	0
2	172	129	499699	0
3	172	117	499711	0
4	148	135	499717	0
0	143	154	499703	0
5	154	66	499780	0
1	148	161	499691	0
2	172	151	499677	0
3	172	103	499725	0
4	153	154	499693	0
5	156	75	499768	1
0	148	161	499691	0
1	153	26	499821	0
4	159	143	499698	0
2	153	144	499703	0
3	153	4	499843	0
5	161	31	499808	0
0	161	148	499691	0
1	159	47	499794	0
2	153	105	499742	0
3	156	86	499757	1
4	163	16	499821	0
5	161	146	499693	0
0	172	159	499669	0
1	163	122	499715	0
2	156	150	499693	1
4	163	143	499694	0
3	163	136	499701	0
5	159	99	499742	0
0	159	172	499669	0
1	153	156	499691	0
3	163	33	499804	0
2	162	51	499787	0
4	181	159	499660	0
5	178	5	499817	0
0	156	152	499691	1
1	181	15	499804	0
2	162	13	499825	0
4	178	170	499652	0
3	181	174	499645	0
5	157	0	499843	0
0	156	152	499691	1
1	162	11	499827	0
2	178	166	499656	0
3	181	61	499758	0
4	161	157	499682	0
5	162	159	499679	0
0	162	162	499676	0
1	161	121	499718	0
2	178	1	499821	0
3	161	48	499791	0
4	161	161	499678	0
0	162	163	499675	0
5	163	80	499757	0
1	181	119	499700	0
2	161	159	499680	0
3	161	30	499809	0
4	153	87	499760	0
5	153	103	499744	0
0	181	178	499641	0
2	162	21	499817	0
1	164	123	499713	0
3	164	61	499775	0
4	153	123	499724	0
0	181	178	499641	0
5	178	95	499727	0
1	161	135	499704	0
2	153	10	499837	0
3	164	130	499706	0
4	173	43	499784	0
5	152	155	499693	0
0	162	161	499677	0
1	164	115	499721	0
3	152	140	499708	0
2	152	26	499822	0
4	171	118	499710	1
5	161	153	499686	0
0	162	161	499677	0
1	153	130	499717	0
3	152	142	499706	0
2	152	169	499679	0
4	164	10	499826	0
5	156	142	499702	0
